2219Temp+Humid,Time,Celsius(°C),Humidity(%rh),Dew Point(°C),Comments,Serial Number
1975,10/08/20 8:30,21.5,41.5,7.9,,
1976,10/08/20 8:40,21.5,41.5,7.9,,
1977,10/08/20 8:50,21.5,40.5,7.5,,
1978,10/08/20 9:00,21.5,40.5,7.5,,
1979,10/08/20 9:10,21.5,40,7.3,,
1980,10/08/20 9:20,21.5,40,7.3,,
1981,10/08/20 9:30,21.5,40,7.3,,
1982,10/08/20 9:40,21.5,40.5,7.5,,
1983,10/08/20 9:50,21.5,40.5,7.5,,
1984,10/08/20 10:00,21.5,40.5,7.5,,
1985,10/08/20 10:10,21.5,40.5,7.5,,
1986,10/08/20 10:20,21.5,40.5,7.5,,
1987,10/08/20 10:30,21.5,40.5,7.5,,
1988,10/08/20 10:40,21.5,40.5,7.5,,
1989,10/08/20 10:50,21.5,40,7.3,,
1990,10/08/20 11:00,22,39.5,7.6,,
1991,10/08/20 11:10,22.5,39,7.9,,
1992,10/08/20 11:20,23,38,7.9,,
1993,10/08/20 11:30,23,37.5,7.7,,
1994,10/08/20 11:40,23.5,37,8,,
1995,10/08/20 11:50,23,37.5,7.7,,
1996,10/08/20 12:00,22.5,38,7.5,,
1997,10/08/20 12:10,22.5,38,7.5,,
1998,10/08/20 12:20,22,38,7,,
1999,10/08/20 12:30,22,38.5,7.2,,
2000,10/08/20 12:40,22,38.5,7.2,,
2001,10/08/20 12:50,22,38.5,7.2,,
2002,10/08/20 13:00,22,38.5,7.2,,
2003,10/08/20 13:10,22,39,7.4,,
2004,10/08/20 13:20,22,38.5,7.2,,
2005,10/08/20 13:30,21.5,38.5,6.8,,
2006,10/08/20 13:40,21.5,39,7,,
2007,10/08/20 13:50,21.5,39,7,,
2008,10/08/20 14:00,21.5,38.5,6.8,,
2009,10/08/20 14:10,21.5,38.5,6.8,,
2010,10/08/20 14:20,21.5,38.5,6.8,,
2011,10/08/20 14:30,21.5,38.5,6.8,,
2012,10/08/20 14:40,21.5,38.5,6.8,,
2013,10/08/20 14:50,21.5,38.5,6.8,,
2014,10/08/20 15:00,21.5,38,6.6,,
2015,10/08/20 15:10,21.5,38,6.6,,
2016,10/08/20 15:20,21.5,38,6.6,,
2017,10/08/20 15:30,21.5,38,6.6,,
2018,10/08/20 15:40,22,38,7,,
2019,10/08/20 15:50,22,38,7,,
2020,10/08/20 16:00,22,38,7,,
2021,10/08/20 16:10,22,37.5,6.8,,
2022,10/08/20 16:20,22,37.5,6.8,,
2023,10/08/20 16:30,22,37.5,6.8,,
2024,10/08/20 16:40,22,37.5,6.8,,
2025,10/08/20 16:50,22,37.5,6.8,,
2026,10/08/20 17:00,22,37.5,6.8,,
2027,10/08/20 17:10,22,37.5,6.8,,
2028,10/08/20 17:20,22,38,7,,
2029,10/08/20 17:30,21.5,38,6.6,,
2030,10/08/20 17:40,21.5,38,6.6,,
2031,10/08/20 17:50,21.5,38,6.6,,
2032,10/08/20 18:00,21.5,38,6.6,,
2033,10/08/20 18:10,21.5,38,6.6,,
2034,10/08/20 18:20,21.5,38.5,6.8,,
2035,10/08/20 18:30,21.5,38.5,6.8,,
2036,10/08/20 18:40,21.5,38.5,6.8,,
2037,10/08/20 18:50,21.5,38.5,6.8,,
2038,10/08/20 19:00,21.5,38.5,6.8,,
2039,10/08/20 19:10,21.5,38.5,6.8,,
2040,10/08/20 19:20,21.5,38.5,6.8,,
2041,10/08/20 19:30,21.5,38.5,6.8,,
2042,10/08/20 19:40,21.5,38.5,6.8,,
2043,10/08/20 19:50,21.5,38.5,6.8,,
2044,10/08/20 20:00,21.5,38.5,6.8,,
2045,10/08/20 20:10,21.5,38.5,6.8,,
2046,10/08/20 20:20,21.5,38.5,6.8,,
2047,10/08/20 20:30,21.5,38.5,6.8,,
2048,10/08/20 20:40,21.5,38.5,6.8,,
2049,10/08/20 20:50,21.5,38.5,6.8,,
2050,10/08/20 21:00,21.5,38.5,6.8,,
2051,10/08/20 21:10,21.5,38.5,6.8,,
2052,10/08/20 21:20,21.5,38.5,6.8,,
2053,10/08/20 21:30,21.5,38.5,6.8,,
2054,10/08/20 21:40,21.5,38.5,6.8,,
2055,10/08/20 21:50,21.5,38.5,6.8,,
2056,10/08/20 22:00,21.5,38.5,6.8,,
2057,10/08/20 22:10,21.5,38.5,6.8,,
2058,10/08/20 22:20,21.5,38.5,6.8,,
2059,10/08/20 22:30,21.5,39,7,,
2060,10/08/20 22:40,21.5,39,7,,
2061,10/08/20 22:50,21.5,39,7,,
2062,10/08/20 23:00,21.5,39.5,7.2,,
2063,10/08/20 23:10,21.5,39.5,7.2,,
2064,10/08/20 23:20,21.5,39.5,7.2,,
2065,10/08/20 23:30,21.5,39.5,7.2,,
2066,10/08/20 23:40,21.5,40,7.3,,
2067,10/08/20 23:50,21.5,40,7.3,,
2068,10/09/20 0:00,21.5,40,7.3,,
2069,10/09/20 0:10,21.5,40.5,7.5,,
2070,10/09/20 0:20,21.5,40.5,7.5,,
2071,10/09/20 0:30,21.5,40.5,7.5,,
2072,10/09/20 0:40,21.5,40.5,7.5,,
2073,10/09/20 0:50,21.5,40.5,7.5,,
2074,10/09/20 1:00,21.5,40.5,7.5,,
2075,10/09/20 1:10,21.5,40.5,7.5,,
2076,10/09/20 1:20,21.5,40.5,7.5,,
2077,10/09/20 1:30,21.5,40.5,7.5,,
2078,10/09/20 1:40,21.5,40.5,7.5,,
2079,10/09/20 1:50,21.5,41,7.7,,
2080,10/09/20 2:00,21.5,41,7.7,,
2081,10/09/20 2:10,21.5,41,7.7,,
2082,10/09/20 2:20,21.5,41,7.7,,
2083,10/09/20 2:30,21.5,41,7.7,,
2084,10/09/20 2:40,21.5,41,7.7,,
2085,10/09/20 2:50,21.5,41,7.7,,
2086,10/09/20 3:00,21.5,40.5,7.5,,
2087,10/09/20 3:10,21.5,40.5,7.5,,
2088,10/09/20 3:20,21.5,40.5,7.5,,
2089,10/09/20 3:30,21.5,40.5,7.5,,
2090,10/09/20 3:40,21.5,40.5,7.5,,
2091,10/09/20 3:50,21.5,40.5,7.5,,
2092,10/09/20 4:00,21.5,40.5,7.5,,
2093,10/09/20 4:10,21.5,40.5,7.5,,
2094,10/09/20 4:20,21.5,40.5,7.5,,
2095,10/09/20 4:30,21.5,40.5,7.5,,
2096,10/09/20 4:40,21.5,40.5,7.5,,
2097,10/09/20 4:50,21.5,40.5,7.5,,
2098,10/09/20 5:00,21.5,40.5,7.5,,
2099,10/09/20 5:10,21.5,40.5,7.5,,
2100,10/09/20 5:20,21.5,40.5,7.5,,
2101,10/09/20 5:30,21.5,40.5,7.5,,
2102,10/09/20 5:40,21.5,40.5,7.5,,
2103,10/09/20 5:50,21.5,40.5,7.5,,
2104,10/09/20 6:00,21.5,40.5,7.5,,
2105,10/09/20 6:10,21.5,40.5,7.5,,
2106,10/09/20 6:20,21.5,40.5,7.5,,
2107,10/09/20 6:30,21.5,41,7.7,,
2108,10/09/20 6:40,21.5,41,7.7,,
2109,10/09/20 6:50,21.5,41,7.7,,
2110,10/09/20 7:00,21.5,41,7.7,,
2111,10/09/20 7:10,21.5,41.5,7.9,,
2112,10/09/20 7:20,21.5,41.5,7.9,,
2113,10/09/20 7:30,21.5,41.5,7.9,,
2114,10/09/20 7:40,21.5,41.5,7.9,,
2115,10/09/20 7:50,21.5,42,8.1,,
2116,10/09/20 8:00,21.5,42,8.1,,
2117,10/09/20 8:10,21.5,42.5,8.2,,
2118,10/09/20 8:20,21.5,42.5,8.2,,
2119,10/09/20 8:30,21.5,43,8.4,,
2120,10/09/20 8:40,21.5,43.5,8.6,,
2121,10/09/20 8:50,21.5,44.5,8.9,,
2122,10/09/20 9:00,21.5,45,9.1,,
2123,10/09/20 9:10,21.5,46,9.4,,
2124,10/09/20 9:20,21.5,46.5,9.6,,
2125,10/09/20 9:30,21.5,47.5,9.9,,
2126,10/09/20 9:40,21.5,49,10.3,,
2127,10/09/20 9:50,21.5,49,10.3,,
2128,10/09/20 10:00,21.5,49,10.3,,
2129,10/09/20 10:10,21.5,49.5,10.5,,
2130,10/09/20 10:20,22,50,11.1,,
2131,10/09/20 10:30,22,49.5,11,,
2132,10/09/20 10:40,23,49,11.7,,
2133,10/09/20 10:50,23,49,11.7,,
2134,10/09/20 11:00,23.5,48.5,12,,
2135,10/09/20 11:10,23.5,48.5,12,,
2136,10/09/20 11:20,23.5,49,12.2,,
2137,10/09/20 11:30,23,50,12,,
2138,10/09/20 11:40,22.5,51,11.9,,
2139,10/09/20 11:50,22.5,51.5,12,,
2140,10/09/20 12:00,22.5,52,12.2,,
2141,10/09/20 12:10,22.5,52,12.2,,
2142,10/09/20 12:20,22,52.5,11.8,,
2143,10/09/20 12:30,22,52.5,11.8,,
2144,10/09/20 12:40,22,52.5,11.8,,
2145,10/09/20 12:50,22,52.5,11.8,,
2146,10/09/20 13:00,22,52.5,11.8,,
2147,10/09/20 13:10,22,52,11.7,,
2148,10/09/20 13:20,22,51.5,11.6,,
2149,10/09/20 13:30,22,51.5,11.6,,
2150,10/09/20 13:40,22,51,11.4,,
2151,10/09/20 13:50,22,51,11.4,,
2152,10/09/20 14:00,22,50.5,11.3,,
2153,10/09/20 14:10,22,50.5,11.3,,
2154,10/09/20 14:20,22,50,11.1,,
2155,10/09/20 14:30,22,50,11.1,,
2156,10/09/20 14:40,22,50,11.1,,
2157,10/09/20 14:50,22,50,11.1,,
2158,10/09/20 15:00,22,50,11.1,,
2159,10/09/20 15:10,22,50,11.1,,
2160,10/09/20 15:20,22,50,11.1,,
2161,10/09/20 15:30,22,50,11.1,,
2162,10/09/20 15:40,22,49.5,11,,
2163,10/09/20 15:50,22,49,10.8,,
2164,10/09/20 16:00,22,49,10.8,,
2165,10/09/20 16:10,22,48.5,10.6,,
2166,10/09/20 16:20,22,48.5,10.6,,
2167,10/09/20 16:30,22,48.5,10.6,,
2168,10/09/20 16:40,22,49,10.8,,
2169,10/09/20 16:50,22,49,10.8,,
2170,10/09/20 17:00,22,49,10.8,,
2171,10/09/20 17:10,22,49,10.8,,
2172,10/09/20 17:20,22,49.5,11,,
2173,10/09/20 17:30,22,49.5,11,,
2174,10/09/20 17:40,22,50,11.1,,
2175,10/09/20 17:50,22,50,11.1,,
2176,10/09/20 18:00,22,50.5,11.3,,
2177,10/09/20 18:10,22,50.5,11.3,,
2178,10/09/20 18:20,22,51,11.4,,
2179,10/09/20 18:30,22,51,11.4,,
2180,10/09/20 18:40,22,51.5,11.6,,
2181,10/09/20 18:50,22,51.5,11.6,,
2182,10/09/20 19:00,22,51.5,11.6,,
2183,10/09/20 19:10,22,52,11.7,,
2184,10/09/20 19:20,22,52,11.7,,
2185,10/09/20 19:30,22,52,11.7,,
2186,10/09/20 19:40,22,52,11.7,,
2187,10/09/20 19:50,22,52,11.7,,
2188,10/09/20 20:00,22,52,11.7,,
2189,10/09/20 20:10,22,52,11.7,,
2190,10/09/20 20:20,22,52.5,11.8,,
2191,10/09/20 20:30,22,52.5,11.8,,
2192,10/09/20 20:40,22,52.5,11.8,,
2193,10/09/20 20:50,22,52.5,11.8,,
2194,10/09/20 21:00,22,53,12,,
2195,10/09/20 21:10,22,53,12,,
2196,10/09/20 21:20,22,53.5,12.1,,
2197,10/09/20 21:30,22,53.5,12.1,,
2198,10/09/20 21:40,22,53.5,12.1,,
2199,10/09/20 21:50,22,53.5,12.1,,
2200,10/09/20 22:00,22,53.5,12.1,,
2201,10/09/20 22:10,22,53.5,12.1,,
2202,10/09/20 22:20,22,53.5,12.1,,
2203,10/09/20 22:30,22,53.5,12.1,,
2204,10/09/20 22:40,22,53.5,12.1,,
2205,10/09/20 22:50,22,53.5,12.1,,
2206,10/09/20 23:00,22,53.5,12.1,,
2207,10/09/20 23:10,22,54,12.3,,
2208,10/09/20 23:20,22,53.5,12.1,,
2209,10/09/20 23:30,22,53.5,12.1,,
2210,10/09/20 23:40,22,53.5,12.1,,
2211,10/09/20 23:50,22,54,12.3,,
2212,10/10/20 0:00,22,54,12.3,,
2213,10/10/20 0:10,22,54,12.3,,
2214,10/10/20 0:20,22,54,12.3,,
2215,10/10/20 0:30,22,54.5,12.4,,
2216,10/10/20 0:40,22,54.5,12.4,,
2217,10/10/20 0:50,22,55,12.5,,
2218,10/10/20 1:00,22,55,12.5,,
2219,10/10/20 1:10,22,55,12.5,,
2220,10/10/20 1:20,22,55,12.5,,
2221,10/10/20 1:30,22,55.5,12.7,,
2222,10/10/20 1:40,22,55.5,12.7,,
2223,10/10/20 1:50,22,55.5,12.7,,
2224,10/10/20 2:00,22,55.5,12.7,,
2225,10/10/20 2:10,22,55.5,12.7,,
2226,10/10/20 2:20,22,55.5,12.7,,
2227,10/10/20 2:30,22,55.5,12.7,,
2228,10/10/20 2:40,22,56,12.8,,
2229,10/10/20 2:50,22,56,12.8,,
2230,10/10/20 3:00,22,56,12.8,,
2231,10/10/20 3:10,22,56,12.8,,
2232,10/10/20 3:20,22,56,12.8,,
2233,10/10/20 3:30,22,56,12.8,,
2234,10/10/20 3:40,22,56,12.8,,
2235,10/10/20 3:50,22,56,12.8,,
2236,10/10/20 4:00,22,56.5,13,,
2237,10/10/20 4:10,22,56.5,13,,
2238,10/10/20 4:20,22,56.5,13,,
2239,10/10/20 4:30,22,57,13.1,,
2240,10/10/20 4:40,22,57,13.1,,
2241,10/10/20 4:50,22,57.5,13.2,,
2242,10/10/20 5:00,22,57.5,13.2,,
2243,10/10/20 5:10,22,57.5,13.2,,
2244,10/10/20 5:20,22,57.5,13.2,,
2245,10/10/20 5:30,22,57,13.1,,
2246,10/10/20 5:40,22,57,13.1,,
2247,10/10/20 5:50,22,57,13.1,,
2248,10/10/20 6:00,22,57.5,13.2,,
2249,10/10/20 6:10,22,57.5,13.2,,
2250,10/10/20 6:20,22,57.5,13.2,,
2251,10/10/20 6:30,22,57.5,13.2,,
2252,10/10/20 6:40,22,57.5,13.2,,
2253,10/10/20 6:50,22,57.5,13.2,,
2254,10/10/20 7:00,22,57.5,13.2,,
2255,10/10/20 7:10,22,57,13.1,,
2256,10/10/20 7:20,22,57,13.1,,
2257,10/10/20 7:30,22,57,13.1,,
2258,10/10/20 7:40,22,56.5,13,,
2259,10/10/20 7:50,22,56.5,13,,
2260,10/10/20 8:00,22,57,13.1,,
2261,10/10/20 8:10,22,57,13.1,,
2262,10/10/20 8:20,22,57.5,13.2,,
2263,10/10/20 8:30,22,57.5,13.2,,
2264,10/10/20 8:40,21.5,58,12.9,,
2265,10/10/20 8:50,22,58.5,13.5,,
2266,10/10/20 9:00,21.5,58.5,13,,
2267,10/10/20 9:10,21.5,58.5,13,,
2268,10/10/20 9:20,21.5,59,13.2,,
2269,10/10/20 9:30,21.5,59,13.2,,
2270,10/10/20 9:40,21.5,58.5,13,,
2271,10/10/20 9:50,21.5,58,12.9,,
2272,10/10/20 10:00,21.5,57.5,12.8,,
2273,10/10/20 10:10,21.5,57.5,12.8,,
2274,10/10/20 10:20,22,58,13.4,,
2275,10/10/20 10:30,22,57.5,13.2,,
2276,10/10/20 10:40,22,58,13.4,,
2277,10/10/20 10:50,22,58,13.4,,
2278,10/10/20 11:00,22,58,13.4,,
2279,10/10/20 11:10,22,58,13.4,,
2280,10/10/20 11:20,21.5,58,12.9,,
2281,10/10/20 11:30,22,58.5,13.5,,
2282,10/10/20 11:40,22,58.5,13.5,,
2283,10/10/20 11:50,22,58.5,13.5,,
2284,10/10/20 12:00,22,58.5,13.5,,
2285,10/10/20 12:10,22,58.5,13.5,,
2286,10/10/20 12:20,22,58,13.4,,
2287,10/10/20 12:30,22,58,13.4,,
2288,10/10/20 12:40,22,58,13.4,,
2289,10/10/20 12:50,22,58,13.4,,
2290,10/10/20 13:00,22,58,13.4,,
2291,10/10/20 13:10,22,58,13.4,,
2292,10/10/20 13:20,22,58,13.4,,
2293,10/10/20 13:30,22,58,13.4,,
2294,10/10/20 13:40,22,58,13.4,,
2295,10/10/20 13:50,22,58,13.4,,
2296,10/10/20 14:00,22,58,13.4,,
2297,10/10/20 14:10,22,58,13.4,,
2298,10/10/20 14:20,22,57.5,13.2,,
2299,10/10/20 14:30,22,58.5,13.5,,
2300,10/10/20 14:40,22,58.5,13.5,,
2301,10/10/20 14:50,22,58.5,13.5,,
2302,10/10/20 15:00,22,58,13.4,,
2303,10/10/20 15:10,22,58.5,13.5,,
2304,10/10/20 15:20,22,59,13.6,,
2305,10/10/20 15:30,22,58.5,13.5,,
2306,10/10/20 15:40,22,58.5,13.5,,
2307,10/10/20 15:50,22,58.5,13.5,,
2308,10/10/20 16:00,22,58.5,13.5,,
2309,10/10/20 16:10,22,58.5,13.5,,
2310,10/10/20 16:20,22,58.5,13.5,,
2311,10/10/20 16:30,22,58.5,13.5,,
2312,10/10/20 16:40,22,59,13.6,,
2313,10/10/20 16:50,22,58.5,13.5,,
2314,10/10/20 17:00,22,59,13.6,,
2315,10/10/20 17:10,22,59,13.6,,
2316,10/10/20 17:20,22,59,13.6,,
2317,10/10/20 17:30,22,59,13.6,,
2318,10/10/20 17:40,22,59,13.6,,
2319,10/10/20 17:50,22,59,13.6,,
2320,10/10/20 18:00,22,59,13.6,,
2321,10/10/20 18:10,22,59,13.6,,
2322,10/10/20 18:20,22,59,13.6,,
2323,10/10/20 18:30,22,59,13.6,,
2324,10/10/20 18:40,22,59,13.6,,
2325,10/10/20 18:50,22,59,13.6,,
2326,10/10/20 19:00,22,59,13.6,,
2327,10/10/20 19:10,22,59.5,13.8,,
2328,10/10/20 19:20,22,59,13.6,,
2329,10/10/20 19:30,22,59,13.6,,
2330,10/10/20 19:40,22,59.5,13.8,,
2331,10/10/20 19:50,22,59.5,13.8,,
2332,10/10/20 20:00,22,59.5,13.8,,
2333,10/10/20 20:10,22,59.5,13.8,,
2334,10/10/20 20:20,22,59.5,13.8,,
2335,10/10/20 20:30,22,59.5,13.8,,
2336,10/10/20 20:40,22,59.5,13.8,,
2337,10/10/20 20:50,22,59,13.6,,
2338,10/10/20 21:00,22,58,13.4,,
2339,10/10/20 21:10,22,58.5,13.5,,
2340,10/10/20 21:20,22,58.5,13.5,,
2341,10/10/20 21:30,22,58.5,13.5,,
2342,10/10/20 21:40,22,58.5,13.5,,
2343,10/10/20 21:50,22,59,13.6,,
2344,10/10/20 22:00,22,59,13.6,,
2345,10/10/20 22:10,22,59.5,13.8,,
2346,10/10/20 22:20,22,59.5,13.8,,
2347,10/10/20 22:30,22,59,13.6,,
2348,10/10/20 22:40,22,59,13.6,,
2349,10/10/20 22:50,21.5,58.5,13,,
2350,10/10/20 23:00,21.5,58.5,13,,
2351,10/10/20 23:10,21.5,58.5,13,,
2352,10/10/20 23:20,21.5,58,12.9,,
2353,10/10/20 23:30,21.5,58.5,13,,
2354,10/10/20 23:40,21.5,58,12.9,,
2355,10/10/20 23:50,21.5,58,12.9,,
2356,10/11/20 0:00,21.5,57.5,12.8,,
2357,10/11/20 0:10,21.5,58,12.9,,
2358,10/11/20 0:20,22,58,13.4,,
2359,10/11/20 0:30,22,58,13.4,,
2360,10/11/20 0:40,22,58,13.4,,
2361,10/11/20 0:50,22,58,13.4,,
2362,10/11/20 1:00,22,58,13.4,,
2363,10/11/20 1:10,22,58,13.4,,
2364,10/11/20 1:20,22,58,13.4,,
2365,10/11/20 1:30,22,58,13.4,,
2366,10/11/20 1:40,22,57.5,13.2,,
2367,10/11/20 1:50,22,57.5,13.2,,
2368,10/11/20 2:00,22,57.5,13.2,,
2369,10/11/20 2:10,22,57,13.1,,
2370,10/11/20 2:20,22,56.5,13,,
2371,10/11/20 2:30,22,56,12.8,,
2372,10/11/20 2:40,22,56,12.8,,
2373,10/11/20 2:50,22,55.5,12.7,,
2374,10/11/20 3:00,22,55.5,12.7,,
2375,10/11/20 3:10,22,55,12.5,,
2376,10/11/20 3:20,22,54.5,12.4,,
2377,10/11/20 3:30,22,54.5,12.4,,
2378,10/11/20 3:40,22,54,12.3,,
2379,10/11/20 3:50,22,53.5,12.1,,
2380,10/11/20 4:00,22,53,12,,
2381,10/11/20 4:10,22,52.5,11.8,,
2382,10/11/20 4:20,22,52,11.7,,
2383,10/11/20 4:30,22,52,11.7,,
2384,10/11/20 4:40,22,51.5,11.6,,
2385,10/11/20 4:50,22,51.5,11.6,,
2386,10/11/20 5:00,22,51,11.4,,
2387,10/11/20 5:10,22,51,11.4,,
2388,10/11/20 5:20,22,51,11.4,,
2389,10/11/20 5:30,22,51,11.4,,
2390,10/11/20 5:40,22,51,11.4,,
2391,10/11/20 5:50,22,51,11.4,,
2392,10/11/20 6:00,22,51,11.4,,
2393,10/11/20 6:10,22,51,11.4,,
2394,10/11/20 6:20,22,51,11.4,,
2395,10/11/20 6:30,22,51,11.4,,
2396,10/11/20 6:40,22,51,11.4,,
2397,10/11/20 6:50,22,51,11.4,,
2398,10/11/20 7:00,22,51,11.4,,
2399,10/11/20 7:10,21.5,51,10.9,,
2400,10/11/20 7:20,21.5,51,10.9,,
2401,10/11/20 7:30,21.5,51,10.9,,
2402,10/11/20 7:40,21.5,51,10.9,,
2403,10/11/20 7:50,21.5,51,10.9,,
2404,10/11/20 8:00,21.5,51.5,11.1,,
2405,10/11/20 8:10,21.5,51.5,11.1,,
2406,10/11/20 8:20,21.5,51.5,11.1,,
2407,10/11/20 8:30,21.5,52,11.2,,
2408,10/11/20 8:40,21.5,52.5,11.4,,
2409,10/11/20 8:50,21.5,53,11.5,,
2410,10/11/20 9:00,21.5,54,11.8,,
2411,10/11/20 9:10,21.5,54.5,11.9,,
2412,10/11/20 9:20,21.5,55.5,12.2,,
2413,10/11/20 9:30,21.5,56,12.4,,
2414,10/11/20 9:40,21.5,56,12.4,,
2415,10/11/20 9:50,21.5,56.5,12.5,,
2416,10/11/20 10:00,21.5,57.5,12.8,,
2417,10/11/20 10:10,21.5,58,12.9,,
2418,10/11/20 10:20,21.5,58,12.9,,
2419,10/11/20 10:30,21.5,58.5,13,,
2420,10/11/20 10:40,21.5,59,13.2,,
2421,10/11/20 10:50,22,59,13.6,,
2422,10/11/20 11:00,22,59.5,13.8,,
2423,10/11/20 11:10,22,59.5,13.8,,
2424,10/11/20 11:20,22,59.5,13.8,,
2425,10/11/20 11:30,22,59.5,13.8,,
2426,10/11/20 11:40,22,59.5,13.8,,
2427,10/11/20 11:50,22,59.5,13.8,,
2428,10/11/20 12:00,22,59.5,13.8,,
2429,10/11/20 12:10,22,59.5,13.8,,
2430,10/11/20 12:20,22,59.5,13.8,,
2431,10/11/20 12:30,22,60,13.9,,
2432,10/11/20 12:40,22,59.5,13.8,,
2433,10/11/20 12:50,22,59.5,13.8,,
2434,10/11/20 13:00,22,59.5,13.8,,
2435,10/11/20 13:10,22,59.5,13.8,,
2436,10/11/20 13:20,22,59.5,13.8,,
2437,10/11/20 13:30,22,59.5,13.8,,
2438,10/11/20 13:40,22,59.5,13.8,,
2439,10/11/20 13:50,22,59.5,13.8,,
2440,10/11/20 14:00,22,59.5,13.8,,
2441,10/11/20 14:10,22,59.5,13.8,,
2442,10/11/20 14:20,22,59.5,13.8,,
2443,10/11/20 14:30,22,59.5,13.8,,
2444,10/11/20 14:40,22,59.5,13.8,,
2445,10/11/20 14:50,22,59.5,13.8,,
2446,10/11/20 15:00,22,59.5,13.8,,
2447,10/11/20 15:10,22,59.5,13.8,,
2448,10/11/20 15:20,22,59,13.6,,
2449,10/11/20 15:30,22,59,13.6,,
2450,10/11/20 15:40,22,59,13.6,,
2451,10/11/20 15:50,22,59,13.6,,
2452,10/11/20 16:00,22,58.5,13.5,,
2453,10/11/20 16:10,22.5,57.5,13.7,,
2454,10/11/20 16:20,23,56.5,13.9,,
2455,10/11/20 16:30,23.5,56,14.2,,
2456,10/11/20 16:40,23.5,55,13.9,,
2457,10/11/20 16:50,24,55,14.4,,
2458,10/11/20 17:00,23.5,55.5,14.1,,
2459,10/11/20 17:10,23,56,13.8,,
2460,10/11/20 17:20,23,57,14,,
2461,10/11/20 17:30,22.5,57,13.6,,
2462,10/11/20 17:40,22.5,57,13.6,,
2463,10/11/20 17:50,22.5,57,13.6,,
2464,10/11/20 18:00,22.5,57.5,13.7,,
2465,10/11/20 18:10,22.5,57.5,13.7,,
2466,10/11/20 18:20,22.5,57,13.6,,
2467,10/11/20 18:30,22.5,57,13.6,,
2468,10/11/20 18:40,23,56,13.8,,
2469,10/11/20 18:50,23.5,55,13.9,,
2470,10/11/20 19:00,23.5,55,13.9,,
2471,10/11/20 19:10,24,54.5,14.3,,
2472,10/11/20 19:20,24,54.5,14.3,,
2473,10/11/20 19:30,23.5,55.5,14.1,,
2474,10/11/20 19:40,23,56,13.8,,
2475,10/11/20 19:50,22.5,56.5,13.4,,
2476,10/11/20 20:00,22.5,57,13.6,,
2477,10/11/20 20:10,22.5,57,13.6,,
2478,10/11/20 20:20,22.5,57.5,13.7,,
2479,10/11/20 20:30,22.5,57.5,13.7,,
2480,10/11/20 20:40,22.5,57.5,13.7,,
2481,10/11/20 20:50,22,57.5,13.2,,
2482,10/11/20 21:00,22,58,13.4,,
2483,10/11/20 21:10,22,58,13.4,,
2484,10/11/20 21:20,22,58,13.4,,
2485,10/11/20 21:30,22,58,13.4,,
2486,10/11/20 21:40,22,58,13.4,,
2487,10/11/20 21:50,22,58,13.4,,
2488,10/11/20 22:00,22,58,13.4,,
2489,10/11/20 22:10,22,58,13.4,,
2490,10/11/20 22:20,22,58,13.4,,
2491,10/11/20 22:30,22,58,13.4,,
2492,10/11/20 22:40,22,58.5,13.5,,
2493,10/11/20 22:50,22,58.5,13.5,,
2494,10/11/20 23:00,22,58.5,13.5,,
2495,10/11/20 23:10,22,58.5,13.5,,
2496,10/11/20 23:20,22,58.5,13.5,,
2497,10/11/20 23:30,22,58.5,13.5,,
2498,10/11/20 23:40,22,58.5,13.5,,
2499,10/11/20 23:50,22,59,13.6,,
2500,10/12/20 0:00,22,59,13.6,,
2501,10/12/20 0:10,22,59,13.6,,
2502,10/12/20 0:20,22,59,13.6,,
2503,10/12/20 0:30,22,59.5,13.8,,
2504,10/12/20 0:40,22,59.5,13.8,,
2505,10/12/20 0:50,22,59.5,13.8,,
2506,10/12/20 1:00,22,59.5,13.8,,
2507,10/12/20 1:10,22,59.5,13.8,,
2508,10/12/20 1:20,22,60,13.9,,
2509,10/12/20 1:30,22,60,13.9,,
2510,10/12/20 1:40,22,60,13.9,,
2511,10/12/20 1:50,22,60,13.9,,
2512,10/12/20 2:00,22,60,13.9,,
2513,10/12/20 2:10,22,60,13.9,,
2514,10/12/20 2:20,22,60,13.9,,
2515,10/12/20 2:30,22,60,13.9,,
2516,10/12/20 2:40,22,60,13.9,,
2517,10/12/20 2:50,22,60,13.9,,
2518,10/12/20 3:00,22,60,13.9,,
2519,10/12/20 3:10,22,60,13.9,,
2520,10/12/20 3:20,22,60,13.9,,
2521,10/12/20 3:30,22,60,13.9,,
2522,10/12/20 3:40,22,60,13.9,,
2523,10/12/20 3:50,22,60,13.9,,
2524,10/12/20 4:00,22,60,13.9,,
2525,10/12/20 4:10,22,60,13.9,,
2526,10/12/20 4:20,22,60,13.9,,
2527,10/12/20 4:30,22,60,13.9,,
2528,10/12/20 4:40,22,60,13.9,,
2529,10/12/20 4:50,22,60,13.9,,
2530,10/12/20 5:00,22,60.5,14,,
2531,10/12/20 5:10,22,60,13.9,,
2532,10/12/20 5:20,22,60,13.9,,
2533,10/12/20 5:30,22,60.5,14,,
2534,10/12/20 5:40,22,60.5,14,,
2535,10/12/20 5:50,22,60,13.9,,
2536,10/12/20 6:00,22,60,13.9,,
2537,10/12/20 6:10,22,60,13.9,,
2538,10/12/20 6:20,22,60,13.9,,
2539,10/12/20 6:30,22,60,13.9,,
2540,10/12/20 6:40,22,60,13.9,,
2541,10/12/20 6:50,22,60,13.9,,
